G4_network_standard,记录数,_id,attraction_title,back_Camera,body_color,comment_sum,forward_Camera,good_birth,good_card_support,good_name,good_weight,good_width,goods_detail12,goods_href,id,mobile_memory,手机品牌,mobile_name,moblie_system,network_standard,paras,phone_shop,photo_feature,power_size,previous_price,run_memory
无,1,5be674590d8c,【京东直发】内置收音机、MP3播放器，增添后置摄像头  ,无,无,4100,120万-199万,无,无,诺基亚（NOKIA） 130DS 移动联通2G 老人手机 老年人手机双卡双待学生备用功能机 黑色,200.00g,无,"商品毛重：200.00g,后置摄像头像素：无,前置摄像头像素：120万-199万,电池容量：1200mAh以下,",/detail/10632192954,10632192954,无,诺基亚,诺基亚（NOKIA）,无,无,"后置摄像头：无,前置摄像头：无,核数：其他,频率：-,",众盛手机专营店,无,1200mAh以下,￥250.00,无
无,1,5be6745a0d8c,【京东配送】超长待机 翻盖双大屏显示 一键报时老年手机 翻盖接听 大字体大按键大音量,500万以下,灰色系,1400,无,中国大陆,无,守护宝 (上海中兴) ZTE tech L660 移动/联通2G 翻盖老人手机 学生备用功能机 灰色联通/移动版,220.00g,8,"商品毛重：220.00g,商品产地：中国大陆,运行内存：2GB以下,前置摄像头像素：无,机身厚度：普通（8.5mm以上）,后置摄像头像素：500万以下,电池容量：1200mAh-1999mAh,机身内存：支持内存卡,机身颜色：灰色系,",/detail/11040781720,11040781720,支持内存卡,中兴,守护宝,无,无,"后置摄像头：30万像素,前置摄像头：无,核数：单核,频率：其他,",光捷达手机专营店,无,1200mAh-1999mAh,￥219.00,2GB以下
移动4G+,1,5be6745a0d8c,,1200万-1999万,无,4900,500万-799万,无,单卡单待,Apple 苹果 iPhone8/8Plus/iPhoneX港版/美版4G手机 iPhoneX深空灰 256GB美版全网通,250.00g,无,"商品毛重：250.00g,货号：iPhone8,多卡支持：单卡单待,前置摄像头像素：500万-799万,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,电池容量：2000mAh-2999mAh,后置摄像头像素：1200万-1999万,4G LTE网络特性：移动4G+,",/detail/25110490763,25110490763,无,苹果,Apple,无,4G LTE LTE-TDD/LTE-FDD移动联通双4G,,XINKE全球购专营店,无,2000mAh-2999mAh,0,无
其他,1,5be6745a0d8c,【原封正品保证】全部预售10月20日前发货 送钢化膜+保护壳 ,1200万-1999万,无,6600,500万-799万,无,单卡单待,Apple 苹果 iPhone7 Plus 手机 黑色 全网通 128GB,0.6kg,7,"商品毛重：0.6kg,多卡支持：单卡单待,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,网络制式：4G LTE全网通,后置摄像头像素：1200万-1999万,电池容量：2000mAh-2999mAh,前置摄像头像素：500万-799万,4G LTE网络特性：其他,",/detail/10673889493,10673889493,无,苹果,Apple,无,4G LTE全网通,"后置摄像头：双1200万像素,前置摄像头：700万像素,核数：其他,频率：以官网信息为准,",佳沪手机旗舰店,智能拍照，后置双摄像头,2000mAh-2999mAh,￥6999.00,无
无,1,5be6745a0d8c,【京东配送】1300万像素骁龙处理器！轻盈小巧长续航 隐私双系统,1200万-1999万,无,1,800万-1599万,无,双卡双待单4G,小米（MI） 小米4A 红米4A 智能老年人手机 双卡双待 玫瑰金 移动全网通4G(2G RAM+16G ROM),250.00g,无,"商品毛重：250.00g,系统：安卓（Android）,网络制式：4G LTE全网通,运行内存：2GB,前置摄像头像素：800万-1599万,老人机配置：智能机（老龄模式）,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,机身内存：16GB,电池容量：3000mAh-3999mAh,",/detail/11503499951,11503499951,16GB,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：其他,",众盛手机专营店,无,3000mAh-3999mAh,￥700.00,2GB
其他,1,5be6745a0d8c,"【原封国行正品 京东配送 快捷时效】
【聚捷联盛京东老店】授权店铺原封国行正品，全国联保购买更放心~！
【好礼不停 套餐更优惠】碎屏险套餐：一年碎屏险（官方屏幕报价2258元）~无线座充套餐：无线座充+移动电源+手机壳膜~原装蓝牙无线耳机套餐：原装蓝牙无线耳机（官网价1276）+手机壳膜！
【体验 华为P20Pro】 爆款推荐，华为P20Pro热卖中，直降500元，豪礼享不停！ ",1200万-1999万,无,7400,500万-799万,无,单卡单待,Apple 苹果 iPhone X手机 深空灰色 全网通256G版,0.8kg,无,"商品毛重：0.8kg,多卡支持：单卡单待,前置摄像头像素：500万-799万,网络制式：4G LTE全网通,电池容量：3000mAh-3999mAh,后置摄像头像素：1200万-1999万,4G LTE网络特性：其他,",/detail/16555705767,16555705767,无,苹果,Apple,无,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：700万像素,核数：其他,频率：其他,",聚捷联盛手机旗舰店,无,3000mAh-3999mAh,￥9999.00,无
其他,1,5be6745a0d8c,"
【原封国行 现货速发】当日18：00前订单大部分当日发出，京东快递直达！
【聚捷联盛 京东老店】品质保障 购买更放心！
 ◆拍64G即赠手机软套+保护膜+音乐耳机。赠完截止！
 ◆领卷后下单更优惠
  红米6pro促销中    ",1200万-1999万,无,6700,500万-799万,无,双卡双待单4G,小米（MI） 红米5plus手机 【领卷立减】 黑色 全网通 （4GB+64GB）,0.8kg,无,"商品毛重：0.8kg,系统：安卓（Android）,前置摄像头像素：500万-799万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/23335196631,23335196631,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：500万像素,核数：八核,频率：其他,",聚捷联盛手机旗舰店,无,3000mAh-3999mAh,0,无
无,1,5be6745a0d8c,【原封正品】全部预售10月15日前发货下单送钢化膜+保护壳+指环扣,1200万-1999万,黑色系,1,500万-799万,无,单卡单待,Apple 苹果 iPhone7 手机 黑色 全网通 32GB,0.6kg,7,"商品毛重：0.6kg,多卡支持：单卡单待,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照,电池容量：1200mAh-1999mAh,机身颜色：黑色系,运行内存：2GB,前置摄像头像素：500万-799万,游戏配置：游戏模式,后置摄像头像素：1200万-1999万,机身内存：32GB,网络制式：4G LTE全网通,",/detail/10673893285,10673893285,32GB,苹果,Apple,无,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：700万像素,核数：其他,频率：以官网信息为准,",佳沪手机旗舰店,智能拍照,1200mAh-1999mAh,￥5999.00,2GB
无,1,5be6745a0d8c,【白条3期免息+赠送蓝牙音箱】6.26英寸全面屏，128GB大内存！全面实力派，AI更畅快！,1200万-1999万,无,1,无,中国大陆,双卡双待单4G,vivo Z1i 新一代全面屏AI双摄手机 4GB+128GB 炫幕红 移动联通电信全网通4G手机 双卡双待,无,7,"商品产地：中国大陆,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,电池容量：3000mAh-3999mAh,热点：人工智能，人脸识别,运行内存：4GB,系统：安卓（Android）,屏幕配置：符合全面屏比例,游戏配置：游戏模式,后置摄像头像素：1200万-1999万,机身内存：128GB,网络制式：4G LTE全网通,",/detail/7906124,7906124,128GB,vivo,vivo,安卓（Android）,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1600万像素,核数：八核,频率：1.8GHz,",vivo京东自营官方旗舰店,后置双摄像头,3000mAh-3999mAh,0,4GB
其他,1,5be6745a0d8c,,1200万-1999万,无,1,800万-1599万,无,4G以下网络双卡双待,华为（HUAWEI） 荣耀7C 畅玩7C 手机 铂光金 全网通3GB+32GB,0.6kg,7,"商品毛重：0.6kg,多卡支持：4G以下网络双卡双待,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：其他,热点：人脸识别,前置摄像头像素：800万-1599万,后置摄像头像素：1200万-1999万,游戏配置：游戏模式,系统：安卓（Android）,电池容量：3000mAh-3999mAh,",/detail/26127960016,26127960016,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：800万像素,核数：八核,频率：8*1.8GHz,",佳沪手机旗舰店,智能拍照，后置双摄像头,3000mAh-3999mAh,￥999.00,无
